Series,Name,Code,Note
Season 1: Indigo League,Pokémon - I Choose You!,EP001,
Season 1: Indigo League,Pokémon Emergency!,EP002,
Season 1: Indigo League,Ash Catches a Pokémon,EP003,
Season 1: Indigo League,Challenge of the Samurai,EP004,
Season 1: Indigo League,Showdown in Pewter City,EP005,
Season 1: Indigo League,Clefairy and the Moon Stone,EP006,
Season 1: Indigo League,The Water Flowers of Cerulean City,EP007,
Season 1: Indigo League,The Path to the Pokémon League,EP008,
Season 1: Indigo League,The School of Hard Knocks,EP009,
Season 1: Indigo League,Bulbasaur and the Hidden Village,EP010,
Season 1: Indigo League,Charmander - The Stray Pokémon,EP011,
Season 1: Indigo League,Here Comes the Squirtle Squad,EP012,
Season 1: Indigo League,Mystery at the Lighthouse,EP013,
Season 1: Indigo League,Electric Shock Showdown,EP014,
Season 1: Indigo League,Battle Aboard the St. Anne,EP015,
Season 1: Indigo League,Pokémon Shipwreck,EP016,
Season 1: Indigo League,Island of the Giant Pokémon,EP017,
Season 1: Indigo League,Beauty and the Beach,EP018,"Banned: sexual content, Skipped in India"
Season 1: Indigo League,Tentacool & Tentacruel,EP019,
Season 1: Indigo League,The Ghost of Maiden's Peak,EP020,
Season 1: Indigo League,Bye Bye Butterfree,EP021,
Season 1: Indigo League,Abra and the Psychic Showdown,EP022,
Season 1: Indigo League,The Tower of Terror,EP023,
Season 1: Indigo League,Haunter versus Kadabra,EP024,
Season 1: Indigo League,Primeape Goes Bananas,EP025,
Season 1: Indigo League,Pokémon Scent-sation!,EP026,
Season 1: Indigo League,Hypno's Naptime,EP027,
Season 1: Indigo League,Pokémon Fashion Flash,EP028,
Season 1: Indigo League,The Punchy Pokémon,EP029,
Season 1: Indigo League,Sparks Fly for Magnemite,EP030,
Season 1: Indigo League,Dig Those Diglett!,EP031,
Season 1: Indigo League,The Ninja Poké-Showdown,EP032,
Season 1: Indigo League,The Flame Pokémon-athon!,EP033,
Season 1: Indigo League,The Kangaskhan Kid,EP034,
Season 1: Indigo League,The Legend of Dratini,EP035,"Banned: firearms, Skipped in India"
Season 1: Indigo League,The Bridge Bike Gang,EP036,
Season 1: Indigo League,Ditto's Mysterious Mansion,EP037,
Season 1: Indigo League,Cyber Soldier Porygon,EP038,"Banned: seizures, Skipped in India"
Season 1: Indigo League,Holiday Hi-Jynx,EP044J,"Banned: Jynx, Japan only (JP ep 44 broadcast number)"
Season 1: Indigo League,It's New Year's Eve! Pocket Monsters Encore,EP053J,"Never aired, Japan only, Never Dubbed, clip episode"
Season 1: Indigo League,Snow Way Out!,EP052J,"Japan only, aired out of order in Japan"
Season 1: Indigo League,Pikachu's Goodbye,EP039,
Season 1: Indigo League,The Battling Eevee Brothers,EP040,
Season 1: Indigo League,Wake Up Snorlax!,EP041,
Season 1: Indigo League,Showdown at Dark City,EP042,
Season 1: Indigo League,The March of the Exeggutor Squad,EP043,
Season 1: Indigo League,The Problem with Paras,EP044,
Season 1: Indigo League,The Song of Jigglypuff,EP045,
Season 1: Indigo League,Attack of the Prehistoric Pokémon,EP046,
Season 1: Indigo League,A Chansey Operation,EP047,
Season 1: Indigo League,Holy Matrimony!,EP048,
Season 1: Indigo League,Princess vs. Princess,EP052,Aired out of order
Season 1: Indigo League,"So Near, Yet So Farfetch'd",EP049,
Season 1: Indigo League,Who Gets to Keep Togepi?,EP050,
Season 1: Indigo League,Bulbasaur's Mysterious Garden,EP051,
Season 1: Indigo League,The Case of the K-9 Caper!,EP054,
Season 1: Indigo League,Pokémon Paparazzi,EP055,
Season 1: Indigo League,The Ultimate Test,EP056,
Season 1: Indigo League,The Breeding Center Secret,EP057,
Season 1: Indigo League,The Purr-fect Hero,EP053,
Season 1: Indigo League,Riddle Me This,EP058,
Season 1: Indigo League,Volcanic Panic,EP059,
Season 1: Indigo League,Beach Blank-Out Blastoise,EP060,
Season 1: Indigo League,The Misty Mermaid,EP061,
Season 1: Indigo League,Clefairy Tales,EP062,
Season 1: Indigo League,The Battle of the Badge,EP063,
Season 1: Indigo League,It's Mr. Mime Time,EP064,
Season 1: Indigo League,Showdown at the Po-ké Corral,EP065,
Season 1: Indigo League,The Evolution Solution,EP066,
Season 1: Indigo League,The Pi-Kahuna,EP067,
Pikachu Short,Pikachu's Vacation,PK01,
